,subject,body,queue,priority,target,confidence,sequence,labels,scores,max_score,max_score_arg,skip,predicted
0,Customer Support Inquiry,"Seeking information on digital strategies that can aid in brand growth and details on the available services. Looking forward to learning more to help our business grow. Thank you, and I look forward to hearing from you soon.",Customer Service,medium,general,0.5,"Seeking information on digital strategies that can aid in brand growth and details on the available services. Looking forward to learning more to help our business grow. Thank you, and I look forward to hearing from you soon.","['general', 'technical', 'billing']","[0.5369965434074402, 0.2475491613149643, 0.2154543250799179]",0.5369965434074402,0,False,general
1,Data Analytics for Investment,"I am contacting you to request information on data analytics tools that can be utilized with the Eclipse IDE for enhancing investment optimization. I am seeking suggestions for tools that can aid in making data-driven decisions. Particularly, I am interested in tools that can manage large datasets and offer advanced analytics features. These tools should be compatible with the Eclipse IDE and can smoothly integrate into my workflow. Key features I am interested in include data visualization, predictive modeling, and machine learning capabilities. I would greatly appreciate any recommendations or advice on how to begin with data analytics for investment optimization using the Eclipse IDE.",Customer Service,medium,general,0.5,"I am contacting you to request information on data analytics tools that can be utilized with the Eclipse IDE for enhancing investment optimization. I am seeking suggestions for tools that can aid in making data-driven decisions. Particularly, I am interested in tools that can manage large datasets and offer advanced analytics features. These tools should be compatible with the Eclipse IDE and can smoothly integrate into my workflow. Key features I am interested in include data visualization, predictive modeling, and machine learning capabilities. I would greatly appreciate any recommendations or advice on how to begin with data analytics for investment optimization using the Eclipse IDE.","['technical', 'general', 'billing']","[0.6655999422073364, 0.23946920037269592, 0.09493088722229004]",0.6655999422073364,0,False,technical
2,Security,"Dear Customer Support, I am reaching out to inquire about the security protocols you have in place to protect medical data. As a valued customer, I want to ensure that my sensitive health information is handled with the utmost care and confidentiality. Could you please provide me with information on the measures you take to safeguard medical data? Additionally, I would appreciate it if you could inform me about any certifications or compliances your company adheres to, such as HIPAA. I am also keen to know if you have any specific measures to prevent data breaches and unauthorized access. Thank you for your time and assistance. I look forward to your prompt response.",Customer Service,medium,general,0.5,"Dear Customer Support, I am reaching out to inquire about the security protocols you have in place to protect medical data. As a valued customer, I want to ensure that my sensitive health information is handled with the utmost care and confidentiality. Could you please provide me with information on the measures you take to safeguard medical data? Additionally, I would appreciate it if you could inform me about any certifications or compliances your company adheres to, such as HIPAA. I am also keen to know if you have any specific measures to prevent data breaches and unauthorized access. Thank you for your time and assistance. I look forward to your prompt response.","['general', 'technical', 'billing']","[0.5428106188774109, 0.2707778513431549, 0.18641149997711182]",0.5428106188774109,0,False,general
3,Concerns About Securing Medical Data on 2-in-1 Convertible Laptop with Norton 360,Inquiring about best practices for securing medical data on a 2-in-1 Convertible Laptop. Currently have Norton 360 installed and need guidance on how to properly configure it to protect sensitive medical information. Would greatly appreciate any tips or recommendations you can offer.,Technical Support,medium,technical,0.5,Inquiring about best practices for securing medical data on a 2-in-1 Convertible Laptop. Currently have Norton 360 installed and need guidance on how to properly configure it to protect sensitive medical information. Would greatly appreciate any tips or recommendations you can offer.,"['technical', 'general', 'billing']","[0.8936310410499573, 0.07686492800712585, 0.029503967612981796]",0.8936310410499573,0,False,technical
4,Problem with Integration,"The integration stopped working unexpectedly, causing synchronization errors between our platforms. This might be due to recent modifications to the API. Despite attempting to restart services and examining logs, the problem remains unresolved. I would be grateful for your help in addressing this issue.",IT Support,high,technical,0.95,"The integration stopped working unexpectedly, causing synchronization errors between our platforms. This might be due to recent modifications to the API. Despite attempting to restart services and examining logs, the problem remains unresolved. I would be grateful for your help in addressing this issue.","['technical', 'general', 'billing']","[0.9508328437805176, 0.03519514575600624, 0.013972058892250061]",0.9508328437805176,0,False,technical
5,Issue with Data Analytics Platform - Insufficient RAM Allocation,"I am reaching out to report an issue with our data analytics platform. The platform has crashed, and we believe it might be due to inadequate RAM allocation. We have already tried restarting the server and reviewing the logs, but the problem still exists. We kindly request your assistance in investigating this matter and providing a resolution at your earliest convenience. Please inform us if any additional information from our side is necessary to address this issue. The platform is currently unavailable, and we urgently need it to be operational. Thank you for your consideration and support.",Technical Support,high,technical,0.95,"I am reaching out to report an issue with our data analytics platform. The platform has crashed, and we believe it might be due to inadequate RAM allocation. We have already tried restarting the server and reviewing the logs, but the problem still exists. We kindly request your assistance in investigating this matter and providing a resolution at your earliest convenience. Please inform us if any additional information from our side is necessary to address this issue. The platform is currently unavailable, and we urgently need it to be operational. Thank you for your consideration and support.","['technical', 'general', 'billing']","[0.9234617352485657, 0.05872109904885292, 0.017817139625549316]",0.9234617352485657,0,True,technical
6,Reported Issue with Project Sync Resulting in Data Loss,"Dear Customer Support,\n\nI am reporting an issue with our project sync, which has led to data loss. This sync failure occurred after recent software updates, possibly due to incompatibility issues. Despite restarting our systems and reviewing firewall settings, the problem remains unresolved.\n\nThe software updates were installed recently, and the sync failure happened shortly thereafter. Our team has attempted to troubleshoot the issue by restarting the systems and reviewing the firewall settings, but these efforts have been unsuccessful.\n\nI would greatly appreciate it if you could investigate this matter and provide a solution to resolve the sync issue and recover the lost data. If there is any additional information or logs you require from our side, please let me know.\n\nThank you for your time and assistance.\n\nBest regards,\n[Your Name]",Technical Support,high,technical,0.95,"Dear Customer Support,\n\nI am reporting an issue with our project sync, which has led to data loss. This sync failure occurred after recent software updates, possibly due to incompatibility issues. Despite restarting our systems and reviewing firewall settings, the problem remains unresolved.\n\nThe software updates were installed recently, and the sync failure happened shortly thereafter. Our team has attempted to troubleshoot the issue by restarting the systems and reviewing the firewall settings, but these efforts have been unsuccessful.\n\nI would greatly appreciate it if you could investigate this matter and provide a solution to resolve the sync issue and recover the lost data. If there is any additional information or logs you require from our side, please let me know.\n\nThank you for your time and assistance.\n\nBest regards,\n[Your Name]","['technical', 'general', 'billing']","[0.7142639756202698, 0.2222752720117569, 0.06346072256565094]",0.7142639756202698,0,True,technical
7,Strategies for Brand Expansion,"Hello Customer Support Team, I am writing to seek advice on digital methods that can aid in expanding my brand. In the current digital era, a robust online footprint is essential for business success. I am keen to learn about the strategies you suggest for boosting brand visibility and attracting more customers. Particularly, I am interested in exploring social media marketing, search engine optimization, and content development. I think applying the appropriate digital strategies could significantly advance my brand. Would you be able to offer some insights on this? I look forward to your response. Thanks for your time and support.",Technical Support,medium,technical,0.5,"Hello Customer Support Team, I am writing to seek advice on digital methods that can aid in expanding my brand. In the current digital era, a robust online footprint is essential for business success. I am keen to learn about the strategies you suggest for boosting brand visibility and attracting more customers. Particularly, I am interested in exploring social media marketing, search engine optimization, and content development. I think applying the appropriate digital strategies could significantly advance my brand. Would you be able to offer some insights on this? I look forward to your response. Thanks for your time and support.","['general', 'billing', 'technical']","[0.6285958290100098, 0.20453163981437683, 0.1668725162744522]",0.6285958290100098,0,False,general
8,Issue with Website Analytics Dashboard,"Dear Customer Support, I am encountering a problem with my website analytics dashboard that is not updating. I believe there might be an issue with the API connection. I have already restarted the dashboard and verified my credentials, yet the problem still exists. Could you please investigate and offer a solution at your earliest convenience? If you require any additional information from me, please let me know. Thank you for your assistance, and I look forward to your response.",Technical Support,low,technical,0.1,"Dear Customer Support, I am encountering a problem with my website analytics dashboard that is not updating. I believe there might be an issue with the API connection. I have already restarted the dashboard and verified my credentials, yet the problem still exists. Could you please investigate and offer a solution at your earliest convenience? If you require any additional information from me, please let me know. Thank you for your assistance, and I look forward to your response.","['technical', 'general', 'billing']","[0.8312640190124512, 0.1354537308216095, 0.03328222408890724]",0.8312640190124512,0,False,technical
9,Urgent: Data Breach Identified in Hospital Network,"Data breach found, assistance required",Technical Support,high,technical,0.95,"Data breach found, assistance required","['technical', 'general', 'billing']","[0.6258814930915833, 0.2598109543323517, 0.11430756747722626]",0.6258814930915833,0,True,technical
10,Request for Assistance with Data Integration,"We are encountering data integration problems while optimizing investments using analytics tools. These issues might be due to unexpected software compatibility problems between various applications. Despite updating the software and checking for configuration errors, the problem continues. We would greatly appreciate your guidance in resolving this matter to ensure a smooth data flow and accurate analysis. Please inform us of the next steps to address this issue.",Customer Service,low,general,0.1,"We are encountering data integration problems while optimizing investments using analytics tools. These issues might be due to unexpected software compatibility problems between various applications. Despite updating the software and checking for configuration errors, the problem continues. We would greatly appreciate your guidance in resolving this matter to ensure a smooth data flow and accurate analysis. Please inform us of the next steps to address this issue.","['technical', 'general', 'billing']","[0.9289378523826599, 0.06113143265247345, 0.0099308080971241]",0.9289378523826599,0,False,technical
11,Request for Updating Integration Features on Mobile,I am writing to request an update to the integration features in our mobile applications. The current features are outdated and not compatible with recent software versions. I would like to request enhancements to ensure seamless functionality with the latest software versions.,Product Support,low,general,0.1,I am writing to request an update to the integration features in our mobile applications. The current features are outdated and not compatible with recent software versions. I would like to request enhancements to ensure seamless functionality with the latest software versions.,"['general', 'technical', 'billing']","[0.4910557270050049, 0.3937234580516815, 0.1152208149433136]",0.4910557270050049,0,False,general
12,Problem with Data Analytics Software Frequent Crashes,"The data analytics software used by the financial firm is experiencing frequent crashes, likely due to RAM limitations and software conflicts.",Technical Support,high,technical,0.95,"The data analytics software used by the financial firm is experiencing frequent crashes, likely due to RAM limitations and software conflicts.","['technical', 'general', 'billing']","[0.9839407801628113, 0.010229682549834251, 0.005829491652548313]",0.9839407801628113,0,False,technical
13,Urgent: Identification of a Data Breach within the Patient Records System,Breach in data identified,Customer Service,high,general,0.95,Breach in data identified,"['technical', 'billing', 'general']","[0.7635750770568848, 0.12431502342224121, 0.11210992187261581]",0.7635750770568848,0,True,technical
14,Urgent: Update Encryption Protocols for JIRA and HubSpot CRM Systems,"Hello customer support, I am contacting you to highlight the urgent requirement to enhance encryption protocols on our JIRA and HubSpot CRM systems in order to secure medical data effectively. This update is vital for safeguarding sensitive information and ensuring adherence to regulatory standards. Could you please undertake these updates as soon as possible and notify me upon completion? If you need any more details from me, please let me know.",IT Support,medium,technical,0.5,"Hello customer support, I am contacting you to highlight the urgent requirement to enhance encryption protocols on our JIRA and HubSpot CRM systems in order to secure medical data effectively. This update is vital for safeguarding sensitive information and ensuring adherence to regulatory standards. Could you please undertake these updates as soon as possible and notify me upon completion? If you need any more details from me, please let me know.","['technical', 'general', 'billing']","[0.8339686989784241, 0.12619146704673767, 0.03983986750245094]",0.8339686989784241,0,False,technical
